,user_num-mean,like_mean-mean,emo1-mean,emo1_r-mean,emo2-mean,emo2_r-mean,emo3-mean,emo3_r-mean,emo4-mean,emo4_r-mean,emo5-mean,emo5_r-mean,emo6-mean,emo6_r-mean,emo7-mean,emo7_r-mean,all_num-mean,y-mean,user_num-1,like_mean-1,emo1-1,emo1_r-1,emo2-1,emo2_r-1,emo3-1,emo3_r-1,emo4-1,emo4_r-1,emo5-1,emo5_r-1,emo6-1,emo6_r-1,emo7-1,emo7_r-1,all_num-1,user_num-2,like_mean-2,emo1-2,emo1_r-2,emo2-2,emo2_r-2,emo3-2,emo3_r-2,emo4-2,emo4_r-2,emo5-2,emo5_r-2,emo6-2,emo6_r-2,emo7-2,emo7_r-2,all_num-2,user_num-3,like_mean-3,emo1-3,emo1_r-3,emo2-3,emo2_r-3,emo3-3,emo3_r-3,emo4-3,emo4_r-3,emo5-3,emo5_r-3,emo6-3,emo6_r-3,emo7-3,emo7_r-3,all_num-3,y1,y2,y3,y
0,8160.666667,59.78127937,1914.666667,0.194899717,2277.333333,0.243965875,2390.666667,0.241937082,1821.333333,0.175147968,834.3333333,0.090057007,218.6666667,0.024057185,330.6666667,0.029935167,9787.666667,24221,5684,58.73106176,1062,0.161545482,1812,0.275631275,1751,0.266352297,897,0.136446608,756,0.114998479,210,0.031944022,86,0.013081838,6574,7494,60.40486057,2142,0.239892485,2361,0.264419308,1715,0.192070781,1493,0.167207974,731,0.08186807,202,0.022622914,285,0.031918468,8929,11304,60.2079158,2540,0.183261183,2659,0.191847042,3706,0.267388167,3074,0.221789322,1016,0.073304473,244,0.017604618,621,0.044805195,13860,60978,6428,5257,5158
1,6929,65.45907012,1783,0.21059104,2099.666667,0.257960091,2000,0.247648188,1163.333333,0.141991338,665,0.08390414,188.3333333,0.023727762,291,0.034177441,8190.333333,5614.333333,7609,77.24128805,2421,0.266982797,2184,0.240846934,2264,0.249669166,1047,0.115460962,585,0.064512572,162,0.01786502,405,0.04466255,9068,5684,58.73106176,919,0.139793124,1799,0.273653788,1866,0.283845452,920,0.139945239,730,0.111043505,204,0.031031336,136,0.020687557,6574,7494,60.40486057,2009,0.2249972,2316,0.25937955,1870,0.209429947,1523,0.170567813,680,0.076156344,199,0.02228693,332,0.037182215,8929,6428,5257,5158,6502
2,6946.333333,70.15813688,1654,0.197346449,1728.666667,0.215800402,2820.333333,0.338393549,996,0.122756323,648,0.082106691,169.3333333,0.021493808,190,0.022102779,8206.333333,5639,7546,74.50206082,1265,0.140915673,1334,0.148601983,4411,0.491366826,1064,0.11852512,578,0.064386766,158,0.017600535,167,0.018603097,8977,7609,77.24128805,2659,0.293228937,2083,0.229708866,2205,0.24316277,1026,0.113145126,618,0.068151742,152,0.016762241,325,0.035840318,9068,5684,58.73106176,1038,0.157894737,1769,0.269090356,1845,0.28065105,898,0.136598722,748,0.113781564,198,0.030118649,78,0.011864922,6574,5257,5158,6502,7924
3,8102.666667,80.92898872,1927.333333,0.199632043,2252.333333,0.22537481,3411,0.352101136,1153.333333,0.117489123,628,0.064071667,151.3333333,0.015930038,244,0.025401182,9767.333333,6528,9153,91.0436173,1872,0.166296527,3289,0.292173759,3596,0.319445678,1411,0.12534423,754,0.066980545,115,0.010215866,220,0.019543395,11257,7546,74.50206082,1264,0.140804278,1348,0.150161524,4422,0.49259218,1041,0.115963017,555,0.061824663,170,0.018937284,177,0.019717055,8977,7609,77.24128805,2646,0.291795324,2120,0.233789149,2215,0.244265549,1008,0.111160124,575,0.063409793,169,0.018636965,335,0.036943097,9068,5158,6502,7924,6026
4,7950.333333,73.34663248,1623.333333,0.171494848,2239.333333,0.232056333,3194,0.335527462,1250.333333,0.132664048,629,0.06650077,120.3333333,0.01288218,427.3333333,0.04887436,9483.666667,6817.333333,7152,54.4942193,1617,0.196787149,2078,0.252890349,1749,0.212851406,1233,0.150054765,584,0.071072167,80,0.009735913,876,0.106608251,8217,9153,91.0436173,1980,0.175890557,3262,0.289775251,3494,0.31038465,1443,0.128186906,741,0.065825708,106,0.009416363,231,0.020520565,11257,7546,74.50206082,1273,0.14180684,1378,0.153503398,4339,0.48334633,1075,0.119750473,562,0.062604434,175,0.019494263,175,0.019494263,8977,6502,7924,6026,3265
5,7223.333333,70.59668946,1582,0.188893995,2271.666667,0.262208884,2405,0.276220771,1070.333333,0.122991552,708.3333333,0.086976111,67.66666667,0.007891052,440,0.054817635,8545,5738.333333,5365,66.25223178,1274,0.206784613,1545,0.250770979,1731,0.280960883,601,0.097549099,698,0.113293297,45,0.007304009,267,0.043337121,6161,7152,54.4942193,1566,0.190580504,2060,0.250699769,1842,0.224169405,1204,0.146525496,635,0.077278812,71,0.008640623,839,0.102105391,8217,9153,91.0436173,1906,0.16931687,3210,0.285155903,3642,0.323532025,1406,0.124900062,792,0.070356223,87,0.007728524,214,0.019010394,11257,7924,6026,3265,4069
6,6141.333333,78.11654566,1487.666667,0.209414423,1910.666667,0.267968863,1752,0.24829936,850,0.116662214,600.6666667,0.08575979,70.33333333,0.009823659,465,0.062071692,7136.333333,4453.333333,5907,113.6031859,1635,0.232541601,2034,0.289290286,1835,0.260987057,715,0.101692505,481,0.068411321,70,0.00995591,261,0.03712132,7031,5365,66.25223178,1269,0.205973056,1590,0.258074988,1664,0.270086025,615,0.099821458,692,0.112319429,58,0.009414056,273,0.044310988,6161,7152,54.4942193,1559,0.189728611,2108,0.256541317,1757,0.213824997,1220,0.148472679,629,0.076548619,83,0.01010101,861,0.104782767,8217,6026,3265,4069,5417
7,6258,93.39371416,1660.666667,0.222403071,2133.666667,0.281410237,2061.333333,0.274402981,735.6666667,0.098589104,548.3333333,0.076899555,80,0.010454567,259,0.035840485,7478.666667,4250.333333,7502,100.3257248,1990,0.215274773,2854,0.308740805,2644,0.286023367,894,0.09671138,497,0.053764604,115,0.012440502,250,0.027044569,9244,5907,113.6031859,1678,0.238657374,2003,0.28488124,1862,0.264827194,700,0.099559095,468,0.066562367,68,0.009671455,252,0.035841274,7031,5365,66.25223178,1314,0.213277065,1544,0.250608667,1678,0.272358383,613,0.099496835,680,0.110371693,57,0.009251745,275,0.044635611,6161,3265,4069,5417,6606
8,6533.666667,99.16778001,1616.333333,0.206915189,2354,0.300768797,2251.333333,0.288244757,663.3333333,0.08402146,543.6666667,0.070891637,98,0.012501093,278.6666667,0.036657066,7805.333333,5364,6192,83.57442935,1243,0.174065257,2140,0.299677916,2263,0.316902395,412,0.057695001,618,0.086542501,103,0.01442375,362,0.05069318,7141,7502,100.3257248,1944,0.210298572,2861,0.309498053,2670,0.288836002,883,0.095521419,527,0.057009952,120,0.012981393,239,0.025854608,9244,5907,113.6031859,1662,0.236381738,2061,0.293130422,1821,0.258995875,695,0.098847959,486,0.069122458,71,0.010098137,235,0.033423411,7031,4069,5417,6606,19681
